ID,Titular,Data Creació,Web,Usuari,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Sub,Karma
92, Un periodista refugiado palestino denuncia un interrogatorio ilegal de la Guardia Civil y el Mossad en Madrid ,2021-04-10 01:19:18,https://www.publico.es/politica/guardia-civil-mossad-periodista-refugiado-palestino-espana-denuncia-interrogatorio-ilegal-guardia-civil-mossad-madrid.html,Tiopio,634,1378,52,241,393,7,actualidad,334
93, Querella de Boye y 44 abogados contra la jueza Tardón por encubrir un asesinato ,2021-04-09 20:23:22,https://www.elnacional.cat/es/politica/querella-boye-44-abogados-jueza-tardon-encubrimiento-asesinato_599333_102.html,candonga1,393,1600,93,144,249,24,actualidad,373
94, ¿Crisis? ¿Qué crisis? Rolls-Royce ha batido su récord de ventas esta primera parte del año ,2021-04-09 19:46:53,https://www.topgear.es/noticias/garaje/crisis-crisis-rolls-royce-ha-batido-record-ventas-primera-parte-ano-845051,Meneador_Compulsivo,306,853,53,131,175,2,actualidad,362
95, Los mendigos del mar: la piratería en tiempos del rey Felipe II ,2021-04-10 00:07:05,https://www.ocesaronada.net/los-mendigos-del-mar/,Skar2791,89,1188,9,49,40,0,cultura,386
96," «Silencio, que estoy leyendo la prensa», pide un padre de familia mientras revisa memes fascistas en Whatsapp ",2021-04-09 15:50:43,https://www.elmundotoday.com/2021/04/silencio-que-estoy-leyendo-la-prensa-pide-un-padre-de-familia-mientras-revisa-memes-fascistas-en-whatsapp/,halcondeoro,459,972,43,213,246,13,ocio,352
97, Exigen al Gobierno que anule la inmatriculación del Patio de los Naranjos para que sea otra vez una plaza pública ,2021-04-09 20:07:26,https://www.eldiario.es/andalucia/sevilla/exigen-gobierno-anule-inmatriculacion-patio-naranjos-sea-vez-plaza-publica-sevilla_1_7393944.html,nereira,390,398,14,153,237,2,cultura,358
98, El Sol como nunca lo viste gracias a una foto de 230 megapíxeles ,2021-04-09 21:18:24,https://hipertextual.com/2021/04/sorprendente-foto-del-sol-230-megapixeles,bercio,134,3774,12,69,65,0,ciencia,328
99, La Junta Electoral de Madrid ordena la retirada del cartel gigante de Gabilondo de Callao ,2021-04-09 21:00:55,https://cadenaser.com/emisora/2021/04/09/radio_madrid/1617993886_803154.html?ssm=tw,Nividhia,167,1851,55,69,98,0,politica,392
100, El conductor de la excavadora del canal de Suez durmió 3 horas al día; no le pagaron aún las horas extras ,2021-04-09 23:45:47,https://www.businessinsider.es/conductor-excavadora-canal-suez-durmio-3-horas-dia-844753?amp=1&__twitter_impression=true,rodda2206,541,1640,56,200,341,2,actualidad,383
101, Esa oferta de trabajo en LinkedIn es falsa: el archivo zip te instalará una puerta trasera abierta para atacantes ,2021-04-09 14:21:22,https://www.xataka.com/pro/esa-oferta-trabajo-linkedin-falsa-archivo-zip-te-instalara-puerta-trasera-abierta-para-atacantes,me_joneo_pensando_en_ti,134,782,23,61,73,0,tecnología,370
102," ""Ya no doy más"": mujer chilena se suicidó tras denunciar violencia y amenazas de su expareja ",2021-04-09 21:29:10,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2021/04/09/ya-no-doy-mas-mujer-de-37-anos-se-suicido-tras-denunciar-violencia-y-amenazas-de-su-expareja.shtml,Ratoncolorao,361,1238,59,149,212,10,actualidad,376
103, Recopilación de bulos de la extrema derecha española de marzo de 2021 ,2021-04-09 19:34:29,https://aldescubierto.org/2021/04/09/recopilacion-de-bulos-de-la-extrema-derecha-espanola-de-marzo-de-2021/,kain_666,321,4036,73,267,54,66,actualidad,420
104," José Ribera. Sádico, mafioso y putero ",2021-04-09 22:00:26,https://historia-arte.com/articulos/jose-ribera,Mysanthropus,110,2458,16,53,57,3,cultura,434
105, La treta de Toni Cantó para ser candidato del PP: renovó su DNI con dirección de Madrid unos días antes de registrar... ,2021-04-09 22:37:32,https://www.eldiario.es/madrid/toni-canto-exalcalde-toledo-cambiaron-direccion-dni-dias-registro-listas_1_7392533.html,anasmoon,659,1832,88,266,393,17,actualidad,467
106, Irlanda del Norte: a qué se debe el estallido de violencia que revive fantasmas del pasado ,2021-04-09 20:47:22,https://www.bbc.com/mundo/noticias-internacional-56685116,ángel.,221,3761,19,106,115,0,actualidad,433
107," La vida y filosofía de Javier Krahe, a ritmo de anécdotas ",2021-04-09 18:31:21,https://www.rtve.es/noticias/20210409/javier-krahe-biografia/2085129.shtml,painful,232,2645,26,119,113,1,cultura,427
108, Por qué no hay que marcar las casillas de la iglesia católica ni la de fines sociales en el IRPF ,2021-04-09 21:24:12,https://youtu.be/7Bpwf1dbYRE,javierchiclana,582,4690,80,255,327,12,politica,412
109, Los trabajadores de Amazon votaron y rechazaron tener un sindicato en la empresa ,2021-04-09 18:38:24,https://www.infobae.com/america/eeuu/2021/04/09/los-trabajadores-de-amazon-votaron-y-rechazaron-tener-un-sindicato-en-la-empresa/,nereira,379,1459,200,182,197,2,actualidad,404
110," Justifica el crimen de su pareja: ""Te amo tanto que antes de perdonarte te mato"" ",2021-04-09 13:59:22,https://www.lainformacion.com/arte-cultura-y-espectaculos/asi-justifica-crimen-pareja-carta-te-amo-tanto-antes-perdonarte-te-mato/2834809/,cestdufoot,246,1915,136,136,110,4,actualidad,340
111, El dopaje mecánico de Lance Armstrong y el motor en su bicicleta ,2021-04-09 17:33:54,https://www.iberobike.com/el-dopaje-mecanico-de-lace-armstrong-el-motor-en-su-bicicleta/,filosofo,358,15103,153,148,210,40,ocio,420
112,"  La televisión gallega arrincona en directo a una joven de 20 años para que se reúna con su expareja, de la que se separ ",2021-04-09 18:41:26,https://www.eldiario.es/galicia/politica/video-television-publica-gallega-arrincona-directo-joven-20-anos-reuna-expareja-separo-conducta-controladora_1_7393272.html?fbclid=IwAR3jXfAbv2BsTrDOqF8GQDlz3QhlgKM7lyhfF6UzTFL2HteIWPKkdLZSmC0,Maddoctor,651,7450,162,235,416,48,actualidad,604
