ID,Titular,Data Creació,Web,Usuari,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Sub,Karma
170, Fiscalía pide un año para el periodista de OK Diario que acosó a los hijos de Irene Montero y Pablo Iglesias ,2021-04-08 12:51:34,https://www.elsaltodiario.com/periodismo/fiscalia-pide-ano-carcel-para-alejandro-sanmiguel-entrambasaguas-ok-diario-acoso-hijos-irene-montero-pablo-iglesias,JusticiaParaMAG,1146,3141,178,421,725,5,actualidad,430
171, La reliquia de Guiza hallada en una caja de puros es aún más antigua que la Gran Pirámide ,2021-04-07 21:42:54,https://www.abc.es/cultura/abci-reliquia-guiza-hallada-caja-puros-mas-antigua-gran-piramide-202104071235_noticia.html,JORGE75,156,2297,42,74,82,1,cultura,351
172, El falso mito del idilio entre Vox y la clase trabajadora ,2021-04-08 09:36:22,https://blogs.publico.es/dominiopublico/37335/el-falso-mito-del-idilio-entre-vox-y-la-clase-trabajadora/,Inutil,495,4225,243,216,279,39,politica,407
173, Extremadura perderá cerca del 10% de su población en los próximos 15 años ,2021-04-07 22:00:51,https://www.elperiodicoextremadura.com/extremadura/2021/04/06/extremadura-perdera-cerca-10-poblacion-46141085.html,mariasabugo,304,1179,249,140,164,5,actualidad,410
174, El Principado publica un catálogo que recoge los 329 quesos que se elaboran en Asturias ,2021-04-08 00:14:14,https://www.europapress.es/asturias/asturias-rural-00671/noticia-principado-publica-catalogo-recoge-329-quesos-elaboran-asturias-20210407131111.html,rodda2206,334,1486,67,164,170,4,actualidad,361
175," Duro relato de una víctima de abusos en la iglesia: ""Mi padre se suicidó a los dos años de saberlo,... ",2021-04-07 23:48:40,https://www.lasexta.com/programas/el-intermedio/andrea-ropero/el-duro-relato-de-una-victima-de-abusos-en-la-iglesia-mi-padre-se-suicido-a-los-dos-anos-de-saberlo-tenia-culpabilidad_20210407606e1c8b5cf6d70001f62548.html,anasmoon,605,2529,51,242,363,8,actualidad,359
176, Santiago Abascal encuentra en Vallecas lo que estaba buscando ,2021-04-08 07:43:52,https://www.eldiario.es/politica/santiago-abascal-encuentra-vallecas-buscando_129_7386508.html,Llaqui,752,4225,400,277,475,69,actualidad,411
177, El truco de Jandro que emociona y conquista Estados Unidos por tercera vez ,2021-04-08 09:52:09,https://as.com/tikitakas/2021/04/07/portada/1617816808_598672.html?id_externo_noti=tikitakas_mod_port,calaña,366,13079,125,165,201,3,ocio,513
178, CC.OO. y UGT se inventan un contrato temporal “especial” peor que los temporales “normales” ,2021-04-08 09:04:38,https://laboro-spain.blogspot.com/2021/04/contrato-fijo-obra-construccion-ilegal.html,mr_b,580,2636,54,222,358,1,actualidad,429
179, La serie rusa de 'El Señor de los Anillos' de hace más de 30 años que es un éxito en el Reino Unido en 2021 ,2021-04-07 03:41:35,https://www.theguardian.com/world/2021/apr/05/soviet-tv-version-lord-of-the-rings-rediscovered-after-30-years,ewok,214,5887,32,103,111,2,cinéfilos,390
180, Bruselas da la razón a Orona frente al veto alemán a un modelo de sus ascensores ,2021-04-08 08:30:26,https://www.naiz.eus/eu/info/noticia/20210407/bruselas-da-la-razon-a-orona-frente-al-veto-aleman-a-un-modelo-de-sus-ascensores,LaResistance,244,3074,70,107,137,0,tecnología,428
181," Trenes, letrados, y libertad de expresión ",2021-04-08 00:03:55,https://politikon.es/2021/04/07/trenes-letrados-y-libertad-de-expresion/,ccguy,101,2137,18,62,39,1,actualidad,374
182," Nolotil, ibuprofeno, aspirina y otros fármacos tienen más efectos secundarios graves que AstraZeneca ",2021-04-08 07:15:00,https://www.niusdiario.es/sociedad/sanidad/nolotil-ibuprofeno-aspirina-farmacos-habituales-mas-efectos-secundarios-vacuna-astrazeneca_18_3118770172.html,Ferre94,608,3731,339,279,329,18,actualidad,437
183, La estación española envía su primer informe meteorológico desde Marte ,2021-04-07 08:23:41,https://www.efe.com/efe/espana/efefuturo/la-estacion-espanola-envia-su-primer-informe-meteorologico-desde-marte/50000905-4505651,rodda2206,247,1837,57,129,118,0,ciencia,341
184, España bate su récord de vacunación con más de 336.000 dosis registradas en las últimas 24 horas ,2021-04-07 19:43:36,https://www.niusdiario.es/sociedad/sanidad/record-vacunacion-espana-336000-dosis-24-horas_18_3118770332.html,News333,457,1425,140,246,211,3,vacúname,373
185, Suzhou (China): La novia de una boda descubre que su suegra es su madre ,2021-04-07 13:15:18,https://www.20minutos.es/gonzoo/noticia/4647628/0/una-boda-de-locos-la-suegra-de-la-novia-descubre-que-esta-es-en-realidad-su-hija/,pazmegayok,270,8675,80,130,140,3,actualidad,364
186, Hallan intacta una tableta de chocolate encargada por la reina Victoria de hace 121 años ,2021-04-07 19:36:13,https://redhistoria.com/hallan-intacta-una-tableta-de-chocolate-encargada-por-la-reina-victoria-de-hace-121-anos/,pinaveta,144,2275,40,61,83,1,Arqueología,376
187, La Audiencia de Madrid suspende la entrada en prisión  de los 13 condenados de Blanquerna. (CAT) ,2021-04-07 23:46:47,https://xavier-rius.blogspot.com/2021/04/la-seccio-30-de-laudiencia-de-madrid.html,radon2,367,2042,38,165,202,37,actualidad,394
188, Unidas Podemos y 'Cowboy de medianoche': cómo matar al crítico ,2021-04-07 10:17:31,https://www.infolibre.es/noticias/opinion/columnas/2021/04/07/unidas_podemos_cowboy_medianoche_como_matar_critico_118927_1023.html,Uvieu1926,424,3316,103,190,234,13,politica,380
189," Bolsonaro, el capitán al borde del naufragio ",2021-04-07 22:04:36,https://actualidad.rt.com/opinion/luis-gonzalo-segura/388732-bolsonaro-capitan-borde-naufragio,mariasabugo,307,1365,28,130,177,16,actualidad,365
190, El inquebrantable vínculo entre los últimos rinocerontes blancos y sus guardianes ,2021-04-07 17:34:28,https://ecoosfera.com/rinocerontes-blancos-ultimos-kenia-cuidadores-historia-sudan-animales-peligro-extincion/,Chabelitaenanita,365,4030,21,137,228,0,actualidad,379
191," Miguel Frontera, el acosador de Iglesias y Montero haciéndose fotos con la UIP ",2021-04-07 23:59:50,https://twitter.com/DaniGagoPhoto/status/1379897719121178627?s=20,Álvaro91,726,10710,58,294,432,53,actualidad,397
192, Fuimos hipercarnívoros durante dos millones de años ,2021-04-08 00:15:04,https://www.abc.es/ciencia/abci-fuimos-hipercarnivoros-durante-millones-anos-202104070109_noticia.html,filosofo,210,1709,94,114,96,5,cultura,433
193, Doce años de cárcel para el conductor sin carné que arrolló y mató a un motorista en Ourense y luego se dio a la fuga ,2021-04-07 21:59:39,https://www.lavozdegalicia.es/noticia/ourense/ourense/2021/04/07/doce-anos-carcel-conductor-carne-arrollo-mato-motorista-ourense-dio-fuga/00031617796173445828456.htm,filosofo,425,2675,45,165,260,2,actualidad,401
194, Lo que ha pasado esta tarde en Vallecas resumido en menos de 30 segundos ,2021-04-07 23:23:51,https://twitter.com/spanishrevorg/status/1379899676137246726,Álvaro91,328,15450,323,234,94,64,actualidad,546
195, FACUA compara más de 100 tarifas de móvil con llamadas ilimitadas: diferencias de hasta el 176% ,2021-04-07 19:48:33,https://www.facua.org/es/noticia.php?Id=16649,rodda2206,242,6647,41,108,134,2,actualidad,417
196, Sanidad y las comunidades acuerdan suspender la vacunación con AstraZeneca a menores de 60 años ,2021-04-07 22:28:08,https://www.eldiario.es/sociedad/sanidad-sigue-adelante-vacunaciones-astrazeneca-espana-limitaciones-edad_1_7384686.html,mariasabugo,276,1501,131,138,138,9,actualidad,466
197, Equivalencias de procesadores Intel y AMD: Guía completa ,2021-04-07 20:34:08,https://www.muycomputer.com/2021/04/06/guia-procesadores-intel-y-amd-2021/,barney_77,169,5851,35,97,72,3,tecnología,431
198," Desarrollan una ""pastilla"" revolucionaria para administrar insulina por la boca y no con pinchazos ",2021-04-06 18:31:29,https://cadenaser.com/ser/2021/04/06/ciencia/1617726274_710845.amp.html?__twitter_impression=true,rodda2206,368,1498,38,168,200,0,ciencia,428
199, Carlos Herrera llama “escoria” a Unidas Podemos ,2021-04-07 22:16:55,https://diario16.com/herrera-llama-escoria-a-unidas-podemos/,Uvieu1926,779,2693,91,303,476,26,politica,458
200, La Mezquita Central de Madrid financiaba al-Qaeda ,2021-04-07 20:48:22,https://www.voltairenet.org/article212613.html,me_joneo_pensando_en_ti,517,810,98,205,312,8,actualidad,487
201, Expatriados británicos abandonan España para evitar la deportación tras volverse ilegales por el Brexit [ING] ,2021-04-07 22:35:09,https://www.cityam.com/british-expats-flee-spain-to-avoid-deportation-as-post-brexit-rules-turn-them-into-illegal-immigrants/,gelatti,338,1872,72,141,197,2,actualidad,467
202, Una propuesta de subida del 400% del canon digital amenaza con encarecer la tecnología ,2021-04-07 18:57:16,https://www.vozpopuli.com/economia_y_finanzas/canon-digital-subida-moviles.html,Condetino,281,832,81,130,151,1,tecnología,465
203, Nómina del siglo I ,2021-04-07 22:22:57,https://archivoshistoriapatrimonio.blogspot.com/2021/03/nomina-del-siglo-i.html?m=1,Mysanthropus,127,2528,17,61,66,0,cultura,513
204, Las preguntas a la víctima de la manada de Sabadell eran duras y exhaustivas. Y eso le beneficia ,2021-04-07 21:15:25,https://magnet.xataka.com/un-mundo-fascinante/preguntas-a-victima-manada-sabadell-eran-duras-exhaustivas-eso-le-beneficia,ccguy,228,2515,89,100,128,1,actualidad,400
205," ""Misma pasión"": el acoso machista a la portera del Madrid se convierte en ola por la igualdad ",2021-04-07 18:06:26,https://www.20minutos.es/deportes/noticia/4647764/0/misa-rodriguez-portera-real-madrid-borra-tuit-ataques-machistas/,ChanVader,347,6216,120,149,198,41,actualidad,424
206," Movistar incluye la compra obligatoria de un móvil para contratar sus paquetes Fusión, que suben tres euros al mes ",2021-04-07 20:05:55,http://elpais.com/economia/2021-04-07/movistar-incluye-la-compra-obligatoria-de-un-movil-para-contratar-sus-paquetes-fusion-que-suben-tres-euros-al-mes.html,Lord_Cromwell,307,2127,145,133,174,1,actualidad,431
207, La UE convoca una reunión de urgencia de ministros de Sanidad por la crisis de AstraZeneca ,2021-04-07 13:17:52,https://www.lasprovincias.es/sociedad/salud/castilla-leon-suspende-20210407101250-ntrc.html,Ergo,482,2173,271,195,287,0,vacúname,807
208, España registra el mayor descenso de esperanza de vida en la UE en 2020 ,2021-04-07 13:40:43,https://www.20minutos.es/noticia/4647534/0/espana-registra-el-mayor-descenso-de-esperanza-de-vida-en-la-ue-en-2020/,Wurmspiralmaschine,251,2031,57,130,121,3,actualidad,380
209, Sanidad propone a las comunidades vacunar con AstraZeneca solo a mayores de 60 ,2021-04-07 21:12:49,https://www.efe.com/efe/espana/sociedad/sanidad-propone-a-las-comunidades-vacunar-con-astrazeneca-solo-mayores-de-60/10004-4506380,pinaveta,180,1057,138,95,85,0,actualidad,424
210," Grace Hopper, la mujer que revolucionó la programación ",2021-04-07 17:33:55,https://agenciab12.com/noticia/grace-hopper-mujer-revoluciono-programacion,NubisMusic,254,1278,32,119,135,3,cultura,450
211, Vox pincha en Vallecas y la policía carga contra periodistas ,2021-04-07 20:33:49,https://www.elsaltodiario.com/extrema-derecha/vox-pincha-en-vallecas-mil-antifascistas-boicotean-su-acto,KeepYourCoins,599,4633,119,282,317,42,actualidad,555
212, El FMI propone un alza temporal de impuestos a rentas altas y patrimonios para sufragar la crisis ,2021-04-07 14:24:43,https://cincodias.elpais.com/cincodias/2021/04/07/economia/1617796659_926661.html,pazmegayok,560,863,77,253,307,0,actualidad,339
213," Un buitre negro de Pirineos, primera ave carroñera intoxicada por diclofenaco que se detecta en Europa ",2021-04-07 11:38:24,https://www.europapress.es/sociedad/medio-ambiente-00647/noticia-buitre-negro-pirineos-primera-ave-carronera-intoxicada-diclofenaco-detecta-europa-20210406181752.html,jpablo,272,2085,36,131,141,0,actualidad,329
214, El TAS confirma el bronce de Ruth Beitia nueve años después de Londres 2012 ,2021-04-07 17:15:44,https://www.20minutos.es/deportes/noticia/4647985/0/ruth-beitia-bronce-londres-2012/,ChanVader,301,952,51,145,156,2,actualidad,410
215, La EMA insta a seguir vacunando con AstraZeneca ,2021-04-07 16:45:26,https://cadenaser.com/ser/2021/04/07/internacional/1617797771_697972.html,pablova,234,857,212,130,104,7,actualidad,409
216," Comunicado conjunto: PSOE, Más Madrid y Podemos piden no ir a un acto ""provocador"" ",2021-04-07 13:49:50,https://www.elespanol.com/espana/madrid/20210407/vallecas-bienvenida-vox-psoe-madrid-podemos-no/571943293_0.html,Inutil,380,1606,137,177,203,6,politica,383
217," El mapamundi más grande de la antigüedad acaba de ser restaurado, y navegar por él es una delicia ",2021-04-07 16:27:06,https://es.gizmodo.com/el-mapamundi-mas-grande-de-la-antiguedad-acaba-de-ser-r-1846633732,ElLocoDelMolino,182,6543,25,99,83,2,cultura,388
218, De Biden al FMI: el impuesto mínimo global a empresas llega para luchar contra la elusión fiscal ,2021-04-06 19:52:02,https://www.elsaltodiario.com/fraude-fiscal/biden-fmi-sanchez-impuesto-minimo-global-empresas-luchar-contra-elusion,KeepYourCoins,356,1226,85,141,215,2,mnm,372
219, Catalunya vuelve al confinamiento comarcal a partir de este jueves a media noche ,2021-04-07 13:49:33,https://www.lavanguardia.com/vida/20210407/6633444/cataluna-confinamiento-comarcal-procicat.html,jacktorrance,229,1063,122,114,115,4,actualidad,377
220, Así despacha la Comunidad de Madrid a una señora que no puede desplazarse 150 km para vacunarse (Audio) ,2021-04-07 16:30:17,https://www.lasexta.com/noticias/nacional/audio-asi-despacha-la-comunidad-de-madrid-a-una-senora-que-no-puede-desplazarse-150-km-para-vacunarse-si-usted-no-quiere-le-pongo-aqui-que-no-quiere_20210407606d77d535c2440001c387ad.html,joanipani,795,8486,307,315,480,19,actualidad,521
221, Desvelan la identidad de los 47 millones de amigos de Juan Carlos I que han financiado su regularización fiscal ,2021-04-07 16:03:55,https://www.elmundotoday.com/2021/04/desvelan-la-identidad-de-los-47-millones-de-amigos-de-juan-carlos-i-que-han-financiado-su-regularizacion-fiscal/,luspagnolu,730,1542,31,296,434,10,ocio,554
222," Agustín Conde, vetado de por vida en el Consejo de Europa, en la lista de Ayuso ",2021-04-07 13:47:47,https://www.lavanguardia.com/local/madrid/20210407/6633062/agustin-conde-listas-ayuso-vetado-consejo-europa.html,Tiopio,793,1262,62,281,512,5,actualidad,440
223, Los sorprendentes dibujos de Prangey sobre la Mezquita-Catedral de Córdoba hacia 1839 ,2021-04-07 09:51:31,https://theconversation.com/los-sorprendentes-dibujos-de-prangey-sobre-la-mezquita-catedral-de-cordoba-hacia-1839-158142,Ripio,177,3424,10,79,98,0,cultura,388
224," Baviera firmará un pre-acuerdo para comprar 2,5 millones de vacunas Sputnik a la espera de la autorización europea ",2021-04-07 15:11:17,https://www.elindependiente.com/internacional/2021/04/07/la-region-alemana-de-baviera-compra-25-millones-de-vacunas-sputnik-a-la-espera-de-la-autorizacion-europea/,Meneador_Compulsivo,273,427,133,122,151,0,actualidad,431
225, Condenada a 540 euros de multa y 2 años de alejamiento por acosar a un hombre tras ofrecerle sexo a cambio de trabajo ,2021-04-07 14:52:53,https://www.diariodemallorca.es/sucesos/2021/04/06/condenada-acosar-hombre-ofrecerle-sexo-46119803.html,Meneador_Compulsivo,347,2125,121,145,202,28,actualidad,407
226," La historia de Gudrid Thorbjarnardóttir, madre del primer europeo nacido en América según las sagas vikingas ",2021-04-07 09:22:56,https://www.labrujulaverde.com/2021/04/la-historia-de-gudrid-thorbjarnardottir-madre-del-primer-europeo-nacido-en-america-segun-las-sagas-vikingas,ccguy,122,1177,29,67,55,1,cultura,415
227," La lenta agonía de una casa de niños pública y gratuita en Leganés: ""Están dejando morir el proyecto"" ",2021-04-07 07:30:28,https://www.eldiario.es/madrid/muerte-lenta-escuela-infantil-publica-madrid_1_7381455.html,Inutil,472,1450,39,185,287,3,actualidad,399
228, Todo listo para el vuelo de Ingenuity en Marte ,2021-04-06 04:14:03,https://danielmarin.naukas.com/2021/04/06/todo-listo-para-el-vuelo-de-ingenuity-en-marte/,ccguy,249,2116,50,166,83,2,ciencia,389
229, Otra popular youtuber japonesa resulta ser un señor con peluca y pechos postizos ,2021-04-07 12:27:34,https://es.gizmodo.com/otra-popular-youtuber-japonesa-resulta-ser-un-senor-con-1846633353,Fantabuloso_contrincario,274,12558,110,127,147,23,ocio,428
230," Debacle interna de VOX en toda España: Denuncias en Canarias, abandonos en Málaga, Extremadura, Murcia y Alicante ",2021-04-07 09:25:25,https://elcierredigital.com/realidad-autonomica/669466979/debacle-local-vox-denuncias-canarias-malaga-extremadura-murcia-alicante.html,Protochoc,930,2886,166,363,567,18,politica,377
231," Las residencias de Madrid están a la cabeza en muertos por número de usuarios, un 53% superior a la media ",2021-04-07 10:44:54,https://www.lavanguardia.com/vida/20210406/6629471/residencias-madrid-cabeza-muertos-numero-usuarios.html,albertiño12,795,803,85,340,455,8,actualidad,405
232," Propinas en EEUU: una historia terrible de precariedad, explotación, racismo y robo salarial (Hilo Twitter) ",2021-04-07 10:35:58,https://twitter.com/Shine_McShine/status/1379373035246006272?s=20,MLeon,499,5316,152,195,304,9,actualidad,369
233, ¿Es legal mantener los cierres perimetrales y el toque de queda cuando termine el estado de alarma? ,2021-04-06 20:27:00,https://www.expansion.com/juridico/actualidad-tendencias/2021/04/06/606c896e468aeb947c8b458c.html,me_joneo_pensando_en_ti,207,1733,115,104,103,0,actualidad,346
234, Asturias. Salud descarta que la vacuna causara la trombosis de la mujer ingresada en Mieres ,2021-04-07 09:04:10,https://www.elcomercio.es/asturias/coronavirus-asturias-salud-descarta-vacuna-astrazeneca-trombosis-paciente-mieres-20210407001236-ntvo.html,Lonnegan,254,400,122,139,115,7,actualidad,399
235, Filtración de datos de Linkedin: 500 millones de cuentas vulneradas (2021) ,2021-04-07 10:07:23,https://www.adslzone.net/noticias/seguridad/500-millones-cuentas-linkedin-filtracion-2021/,rodda2206,290,3723,101,119,171,0,tecnología,420
236, Se suspende la vacunación de AstraZeneca en toda Castilla y León ,2021-04-07 09:54:27,https://www.lagacetadesalamanca.es/castilla-y-leon/se-suspende-la-vacunacion-de-astrazeneca-en-toda-castilla-y-leon-XB7146606,areska,301,1112,151,139,162,0,actualidad,432
237," “Subirse al carajo”, “chupar unas pollas” o “coger el tranvía”: expresiones del español que dan lugar a malentendidos ",2021-04-06 15:16:44,https://elpais.com/cultura/2021-04-06/subirse-al-carajo-chupar-unas-pollas-o-coger-el-tranvia-expresiones-del-espanol-que-dan-lugar-a-malentendidos.html,mrsombra,139,3648,74,61,78,1,cultura,410
238," Para enfriar sus servidores Microsoft los está sumergiendo en un líquido, un líquido hirviendo ",2021-04-07 09:11:23,https://www.xataka.com/energia/para-enfriar-sus-servidores-microsoft-esta-sumergiendo-liquido-liquido-hirviendo,Yorga77,148,8270,56,86,62,5,tecnología,399
239, La CIA conmemora la vez que armó a los Muyahidines de Afganistán para derribar los Mil Mi-24 sovieticos ,2021-04-06 23:08:04,https://twitter.com/CIA/status/1379437049728659459,Viriatox,265,1518,102,141,124,2,politica,365
240," Muere por coronavirus Henry Stephen, el intérprete de ""Limón, limonero"" ",2021-04-07 03:19:16,https://www.20minutos.es/noticia/4646483/0/muere-por-coronavirus-henry-stephen-el-interprete-de-limon-limonero/,ewok,207,1450,29,107,100,1,cultura,402
241, Me negué a convertirme en informante del FBI y el gobierno me puso en la lista de exclusión aérea [en] ,2021-04-07 01:33:04,https://www.aclu.org/news/national-security/i-refused-to-become-an-fbi-informant-and-the-government-put-me-on-the-no-fly-list/,Remenad0r,360,2526,36,154,206,1,actualidad,378
242, EEUU lanza aranceles a la industria eólica de España por 'dumping' y negarse a colaborar ,2021-04-06 11:59:09,https://www.elconfidencial.com/empresas/2021-04-06/eeuu-lanza-aranceles-industria-eolica-espanola-negarse-cooperar-investigacion-dumping_3020780/,pablisako,427,2710,114,183,244,1,actualidad,346
243,Guía visual de las vacunas contra el Covid-19,2021-04-05 10:02:56,https://www.meneame.net/story/guia-visual-vacunas-contra-covid-19,Ergo,191,14023,135,107,84,2,vacúname,385
244," ""Por esto los búhos no vuelan cuando llueve"": las fotos virales de un ave rescatada tras ser lavada ",2021-04-06 09:18:25,https://www.20minutos.es/gonzoo/noticia/4643767/0/por-esto-buhos-no-vuelan-cuando-llueve-fotos-virales-ave-rescatada-lavada/,lmd040892,244,10004,53,132,112,3,ciencia,339
245," Toque de queda, confinamientos... las medidas que decaerían si se pone fin al estado de alarma el 9 de mayo ",2021-04-06 18:37:10,https://www.20minutos.es/noticia/4647039/0/medidas-que-decaerian-fin-del-estado-de-alarma-mayo/,Currela,191,3430,157,95,96,0,actualidad,370
246, Julian Assange no será extraditado ,2021-04-06 17:35:12,https://espadanegra.net/?seccion=vt&asu=12925,Desecrator,737,1752,24,290,447,11,politica,364
247, Polémica actuación policial en Oviedo hacia un menor ,2021-04-06 22:13:40,https://www.telecinco.es/informativos/sociedad/polemica-actuacion-policial-oviedo-madre-abusivo-racista-hijo_18_3118245313.html?fbclid=IwAR0r_7zP9tpHvLIuLh-DSr_XpZUmeRVTEbVwO6qquDobPGBBvzJWBADaOkk,Verdaderofalso,403,6515,194,179,224,6,actualidad,378
248," O dimite, o la cesan. La Consejera de Educación se niega a vacunarse ",2021-04-06 23:11:25,https://blogs.laopiniondemurcia.es/miguel-hernandez/2021/04/06/o-dimite-o-la-cesan-la-consejera-de-educacion-se-niega-a-vacunarse/?fbclid=IwAR0PBMIZcMrKiF8BKE8A_ykHJBG2R8P5ufBwjckrrMhPMgnEwnRPncZSsKU,Ratoncolorao,973,3416,229,330,643,12,politica,433
249, La comunidad musulmana pide saltarse el toque de queda en el Ramadán ,2021-04-06 21:48:04,https://www.elperiodico.com/es/sociedad/20210406/comunidad-musulmana-saltar-ramadan-11637732,er11s111,431,1397,167,197,234,3,actualidad,399
